dateTime,open,high,low,close
2019-01-16T10:14:59,1498.65,1498.75,1497.4,1497.6
2019-01-16T10:15:59,1497.6,1500,1497.5,1500
2019-01-16T10:16:59,1500,1500,1498.5,1498.5
2019-01-16T10:17:59,1498.5,1498.8,1498,1498.25
2019-01-16T10:18:59,1498.25,1498.35,1497.6,1498
2019-01-16T10:19:59,1497.5,1497.7,1496.6,1496.6
2019-01-16T10:20:59,1497.1,1497.45,1496.6,1496.9
2019-01-16T10:21:59,1497.45,1498,1497.1,1497.65
2019-01-16T10:22:59,1497.65,1499,1497.65,1498.5
2019-01-16T10:23:59,1498.5,1498.5,1497.15,1497.15
2019-01-16T10:24:59,1497.15,1498,1494.3,1495
2019-01-16T10:25:59,1495,1495.7,1494.35,1495
2019-01-16T10:26:59,1495,1495.6,1494.3,1495
2019-01-16T10:27:59,1495.55,1495.55,1494.65,1495
2019-01-16T10:28:59,1495,1495.5,1495,1495.5
2019-01-16T10:29:59,1495,1495.5,1494.65,1494.65
2019-01-16T10:30:59,1495,1495.5,1494.65,1495.4
2019-01-16T10:31:59,1495.45,1495.65,1495,1495
2019-01-16T10:32:59,1495.1,1495.1,1495.1,1495.1
2019-01-16T10:33:59,1495.1,1495.7,1495.1,1495.65
2019-01-16T10:34:59,1496,1496,1495.65,1496
2019-01-16T10:35:59,1496,1496,1495.65,1495.8
2019-01-16T10:36:59,1495.8,1497.45,1495.8,1497.35
2019-01-16T10:37:59,1497.35,1497.85,1497.35,1497.75
2019-01-16T10:38:59,1497.75,1497.85,1497.55,1497.85
2019-01-16T10:39:59,1497.65,1499.5,1497.65,1499.5
2019-01-16T10:40:59,1499.1,1499.55,1498.1,1498.1
2019-01-16T10:41:59,1497.6,1497.6,1496,1497.5
2019-01-16T10:42:59,1497.5,1498,1497,1498
2019-01-16T10:43:59,1498,1498,1496,1497
2019-01-16T10:44:59,1496.05,1496.8,1496,1496.8
2019-01-16T10:45:59,1496,1496.8,1496,1496
2019-01-16T10:46:59,1496,1497.7,1496,1497.6
2019-01-16T10:47:59,1497.6,1497.65,1497.25,1497.25
2019-01-16T10:48:59,1497.25,1497.25,1496.7,1496.7
2019-01-16T10:49:59,1496.7,1496.7,1495.2,1495.2
